Fs=250
t,x
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7
0.8,5442.33685,-11475.58677,-176763.9654,-176669.1046,5177.714548,89453.93884,18191.43661,36319.34957
0.804,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165502.3742,-154077.5259
0.808,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165582.2594,-154136.7133
0.812,5405.478824,-11315.54828,-176950.3342,-176834.9545,5273.938808,89579.60034,18277.87081,36319.39427
0.816,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165502.2178,-154080.007
0.82,3513.828339,-10385.69336,-177677.7494,-177714.4733,6642.022031,90765.47215,18364.64028,35872.96288
0.824,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165580.583,-154138.0321
0.828,5305.901802,-11212.28322,-177124.9684,-177006.3477,5328.454712,89650.8577,18309.00679,36318.43314
0.832,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165500.1614,-154079.2023
0.836,3622.74839,-10582.79104,-177470.1017,-177507.675,6467.946645,90595.1295,18271.72408,35947.97533
0.84,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165573.5198,-154133.7182
0.844,5118.258908,-11036.86673,-177335.3654,-177222.5561,5464.554484,89800.77086,18327.89401,36301.15525
0.848,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165502.2625,-154081.0128
0.852,3791.057025,-10717.70617,-177288.2479,-177297.6133,6362.066431,90464.64002,18236.85536,36010.15788
0.856,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165568.5801,-154132.5336
0.86,4933.298222,-10823.38522,-177540.4874,-177429.8239,5675.644359,89987.05029,18416.65279,36274.24375
0.864,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165506.1964,-154085.2373
0.868,4039.854293,-10931.27709,-177065.5351,-177084.333,6134.2351,90248.99039,18183.07706,36074.77678
0.872,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165557.1137,-154126.6104
0.876,4710.138406,-10622.35363,-177732.69,-177651.0614,5905.532051,90191.18878,18475.1026,36211.83767
0.88,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165513.483,-154093.3957
0.884,4306.622363,-11114.31552,-176880.2839,-176893.3149,5955.689365,90057.79356,18160.03241,36146.54823
0.888,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165548.4859,-154123.4811
0.892,4462.682243,-10408.20156,-177898.2494,-177835.3292,6169.327339,90425.25624,18556.23943,36170.21873
0.896,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165525.0836,-154104.4374
0.9,4585.706244,-11256.74084,-176729.3873,-176729.2084,5774.595532,89901.21959,18178.27143,36245.14177
0.904,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165536.3265,-154116.5968
0.908,4204.877222,-10251.60524,-178032.3598,-177979.498,6376.215086,90609.41227,18597.56781,36117.78153
0.912,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165535.3878,-154114.6522
0.916,4825.696924,-11355.02146,-176646.9987,-176625.474,5614.177062,89773.76995,18174.73986,36314.32042
0.92,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165525.2177,-154111.3218
0.924,3953.353042,-10172.65888,-178121.4092,-178089.9379,6499.864936,90726.22248,18585.47551,36070.23937
0.928,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165539.9028,-154118.9884
0.932,5025.789741,-11468.36716,-176595.4556,-176548.1593,5417.504062,89613.35148,18141.72633,36358.39806
0.936,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165513.1031,-154103.9457
0.94,3704.600478,-10064.45409,-178166.0233,-178151.9417,6663.79263,90860.73528,18576.87009,36003.16179
0.944,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165553.6044,-154131.7066
0.948,5198.456967,-11522.63719,-176587.2749,-176526.8357,5272.776517,89494.37314,18149.0577,36393.64676
